Id,Name,Title,Release,BGG Ranking,BGG Rating,Average Rating,Average Rating Z,Tags
3243,Wooly Wars,"<a href=""https://boardgamegeek.com/boardgame/3243"">Wooly Wars</a><br><img src=""https://cf.geekdo-images.com/XJzhqGHKz6A0qB6xN3MayA__thumb/img/ofxRIuXcaHzasQ2gA1eZin5wvjc=/fit-in/200x150/filters:strip_icc()/pic4681578.jpg"" alt=""Wooly Wars"">",2002,#3392,5.8,6.016666666666667,-0.5423681410458655,"Animals, Bluffing, Farming, Puzzle"
219513,Bärenpark,"<a href=""https://boardgamegeek.com/boardgame/219513"">Bärenpark</a><br><img src=""https://cf.geekdo-images.com/9JC16l1EMwmJkpbjaUBkpw__thumb/img/MbjH6nLmJQ5IjCgeULOjMfOf-NA=/fit-in/200x150/filters:strip_icc()/pic3486218.jpg"" alt=""Bärenpark"">",2017,#297,7.1,7.415189655172414,0.3153777284988188,"Animals, Puzzle"
141007,Carcassonne Big Box 3,"<a href=""https://boardgamegeek.com/boardgame/141007"">Carcassonne Big Box 3</a><br><img src=""https://cf.geekdo-images.com/O35jegbhvh0KXvJXf0sfpQ__thumb/img/sIR4wuI59cGP7fNNMVnZjivER3c=/fit-in/200x150/filters:strip_icc()/pic839811.jpg"" alt=""Carcassonne Big Box 3"">",2010,Not Ranked,6.3,6.583333333333333,-0.30247164916111074,"City Building, Medieval"
141423,Dead Men Tell No Tales,"<a href=""https://boardgamegeek.com/boardgame/141423"">Dead Men Tell No Tales</a><br><img src=""https://cf.geekdo-images.com/_pEgLxT-NQ3O1JR0MQYe8g__thumb/img/5Vd23VAJjQ2unZrtFdDbbVzF0Xw=/fit-in/200x150/filters:strip_icc()/pic6314060.png"" alt=""Dead Men Tell No Tales"">",2015,#1021,6.5,7.383333333333333,0.31802749843173156,"Exploration, Fantasy, Fighting, Nautical, Pirates"
227456,Escape the Dark Castle,"<a href=""https://boardgamegeek.com/boardgame/227456"">Escape the Dark Castle</a><br><img src=""https://cf.geekdo-images.com/d4MkgAvJOaJPVjxr6R9rKQ__thumb/img/fbbmrfibmcgPqNDbruBOE4-uTkc=/fit-in/200x150/filters:strip_icc()/pic5004159.jpg"" alt=""Escape the Dark Castle"">",2017,#1330,6.4,6.758333333333333,-0.4434256726298389,"Adventure, Card Game, Dice, Fantasy, Horror"
207336,Honshū,"<a href=""https://boardgamegeek.com/boardgame/207336"">Honshū</a><br><img src=""https://cf.geekdo-images.com/eqDAlJIqk1rjnoY0MDR5-w__thumb/img/9DSDZqnYzElelWfO4beAwFbuzHc=/fit-in/200x150/filters:strip_icc()/pic3627583.jpg"" alt=""Honshū"">",2016,#964,6.6,7.1860357142857145,0.2002629978412597,"Card Game, City Building, Territory Building"
9441,Ribbit,"<a href=""https://boardgamegeek.com/boardgame/9441"">Ribbit</a><br><img src=""https://cf.geekdo-images.com/xiUrbSAVIi3qqpmSB8Lrhw__thumb/img/Z1OY5zdAOuCF2idL2fm1pEzTLQU=/fit-in/200x150/filters:strip_icc()/pic6389814.png"" alt=""Ribbit"">",2004,#1714,6.2,6.25,-0.482416517525814,"Animals, Bluffing, Card Game, Children&#x27;s Game"
216459,The Lost Expedition,"<a href=""https://boardgamegeek.com/boardgame/216459"">The Lost Expedition</a><br><img src=""https://cf.geekdo-images.com/W8yjFs_0LaFL7TMg-nxi_g__thumb/img/cKmWHBSmqx0MFFyO_6dZmedX0U4=/fit-in/200x150/filters:strip_icc()/pic3339655.jpg"" alt=""The Lost Expedition"">",2017,#798,6.7,6.7453125,-0.2514644085191011,"Adventure, Card Game, Exploration"
158275,Marvel Dice Masters: Uncanny X-Men,"<a href=""https://boardgamegeek.com/boardgame/158275"">Marvel Dice Masters: Uncanny X-Men</a><br><img src=""https://cf.geekdo-images.com/oYdbvhLyv0R0364cfaGD2g__thumb/img/LcqpeKx91-qi-c03Ir0cxc4HJsI=/fit-in/200x150/filters:strip_icc()/pic2338307.jpg"" alt=""Marvel Dice Masters: Uncanny X-Men"">",2014,#830,6.6,6.885,-0.06236690216326863,"Collectible Components, Comic Book / Strip, Dice, Fighting"
43249,The BoardGameGeek Game,"<a href=""https://boardgamegeek.com/boardgame/43249"">The BoardGameGeek Game</a><br><img src=""https://cf.geekdo-images.com/jdvBm7ht0dGoD73Mh8fabg__thumb/img/d0v8iuDAlSab9oDjE1g2dRJEcDc=/fit-in/200x150/filters:strip_icc()/pic561490.jpg"" alt=""The BoardGameGeek Game"">",2009,#6200,5.6,5.571428571428571,-0.7014974196223707,"Bluffing, Deduction, Economic, Industry / Manufacturing"
66510,The Red Dragon Inn 3,"<a href=""https://boardgamegeek.com/boardgame/66510"">The Red Dragon Inn 3</a><br><img src=""https://cf.geekdo-images.com/v_A9anux7cv1kea3inNKFQ__thumb/img/j4u56DHgOY4DYld9kSymbhPPJg0=/fit-in/200x150/filters:strip_icc()/pic1022815.jpg"" alt=""The Red Dragon Inn 3"">",2011,#1630,6.2,6.963157894736843,-0.1241563025371986,"Card Game, Fantasy, Humor, Medieval, Party Game"
1144,The Warlock of Firetop Mountain,"<a href=""https://boardgamegeek.com/boardgame/1144"">The Warlock of Firetop Mountain</a><br><img src=""https://cf.geekdo-images.com/cUCJxKlfCD3tpQep1WXUWw__thumb/img/BmUO8vMXZtTK5oEyBzu-1wUGOso=/fit-in/200x150/filters:strip_icc()/pic267088.jpg"" alt=""The Warlock of Firetop Mountain"">",1986,#7683,5.6,6.640000000000001,-0.16046766937710027,"Adventure, Exploration, Fantasy, Fighting"
1297,Trivial Pursuit: Star Wars Classic Trilogy Collector's Edition,"<a href=""https://boardgamegeek.com/boardgame/1297"">Trivial Pursuit: Star Wars Classic Trilogy Collector&#x27;s Edition</a><br><img src=""https://cf.geekdo-images.com/1FTSnSs2llR7G2FBNyOh_w__thumb/img/P3NTD0WerjKS2Lp64vlouSWOwyI=/fit-in/200x150/filters:strip_icc()/pic137509.jpg"" alt=""Trivial Pursuit: Star Wars Classic Trilogy Collector&#x27;s Edition"">",1998,#18163,5.5,5.571428571428571,-0.9456178036338824,"Movies / TV / Radio theme, Party Game, Science Fiction, Trivia"
